H5 N* CK NB         1.1          180.0         2.0          Using default value
H5 N* CR N2         1.1          180.0         2.0          Using default value
H5 N2 CA NC         1.1          180.0         2.0          Using default value
H5 N2 CK NB         1.1          180.0         2.0          Using default value
H5 NA CA NC         1.1          180.0         2.0          Using default value
H5 NB CK NB         1.1          180.0         2.0          Using default value
H5 NC CQ NC         1.1          180.0         2.0          Using default value
N  N  C  O          1.1          180.0         2.0          Using default value
N  N* C  O          1.1          180.0         2.0          Using default value
N  O  C  OS         1.1          180.0         2.0          Using default value
N* N* C  O          1.1          180.0         2.0          Using default value
N* N2 CA N2         1.1          180.0         2.0          Using default value
N* N2 CA NC         1.1          180.0         2.0          Using default value
N* N2 CB NB         1.1          180.0         2.0          Using default value
N* NA C  O          1.1          180.0         2.0          Using default value
N* NA CA SS         1.1          180.0         2.0          Using default value
N* NA CB NB         1.1          180.0         2.0          Using default value
N* NC C  O          1.1          180.0         2.0          Using default value
N* NC CA SS         1.1          180.0         2.0          Using default value
N2 N2 CA NC         1.1          180.0         2.0          Using default value
N2 NA CA NC         1.1          180.0         2.0          Using default value
NA NA C  O          1.1          180.0         2.0          Using default value
NC NC CQ S          1.1          180.0         2.0          Using default value
X  X  C2 H5         1.1          180.          2. 
CB C2 N* CT         1.0          180.          2. 
X  X  C1 H4         1.1          180.          2. 
X  X  C1 HA         1.1          180.          2. 
C  C1 N* CT         1.0          180.          2.           dac guess, 9/94 
C  C1 C1 CT         1.1          180.          2.           dac guess, 9/94 
C1 N2 CA NC         1.1          180.          2.           dac guess, 9/94 
